Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Kiddies Toys Centre Jalandhar, Punjab",31.3071205,75.5795647,Toy store,4.4,19,"Jalandhar, Punjab",0181 227 4023,Delivery
"R K Petha House Phagwara, Punjab",31.2217477,75.7697543,Sweet shop,4.7,24,"Phagwara, Punjab",098156 08000,Delivery
"Panjab Tattoos Jalandhar - Best Tattoo Artist in Jalandhar Jalandhar, Punjab",31.2821148,75.586573,Tattoo shop,4.9,321,"Jalandhar, Punjab",081462 26097,In-store shopping
"Dell Exclusive Store - Sukhmani Tower, Ludhiana Ludhiana, Punjab",30.8971362,75.839006,Computer store,4.5,178,"Ludhiana, Punjab",080 4800 9609,In-store shopping
"Apna Chai Wala ppr Jalandhar, Punjab",31.2983676,75.5819564,Tea store,4.2,342,"Jalandhar, Punjab",,
"Astrologer ABM | Astro Bhagyaraj Gupt Best Astrologer in India | Famous Astrologer in Punjab | Best Astrologer in Ludhiana Ludhiana, Punjab",30.8602842,75.8722712,Astrologer,5,120,"Ludhiana, Punjab",091156 51234,On-site services
"Ram Ji Sweets Ludhiana, Punjab",30.8867057,75.8297422,Sweet shop,3.8,31,"Ludhiana, Punjab",0161 246 4748,Delivery
"Bobby cake house - Best Sugar Free Cake Shop, Veg And Non Veg Cake Shop, Pizza, Fast Food Shop, Bakers Sultanpur Lodhi, Punjab",31.2167383,75.1948724,Bakery and Cake Shop,4.2,232,"Sultanpur Lodhi, Punjab",098154 35085,In-store pick-up
"Ritu Kumar Jalandhar, Punjab",31.3068902,75.5793359,Designer Clothing Store,4.2,9,"Jalandhar, Punjab",0181 469 5446,
"Fancy Bartan Store Ludhiana, Punjab",30.921711,75.8134055,Kitchen supply store,4.4,5,"Ludhiana, Punjab",0161 247 4631,
"Women's Collection Whole Sale Shop Hajipur, Punjab",31.9750111,75.7492414,Shopping mall,5,3,"Hajipur, Punjab",,
"Aggarwal Sanitation and Tiles Jalandhar, Punjab",31.319973,75.572392,Tile store,4.3,122,"Jalandhar, Punjab",093333 53000,
"Parkash Ice Cream Jalandhar, Punjab",31.340505,75.570269,Ice Cream,4.2,1300,"Jalandhar, Punjab",078376 67993,
"Kalra Ice Cream Jalandhar, Punjab",31.3103543,75.5615593,Ice Cream,4.3,258,"Jalandhar, Punjab",062391 68686,
Bikaneri Mishthan Bhandar Punjab,31.1269801,75.4793163,Sweet shop,3.4,11,Punjab,,Delivery
"HS Khurana Enterprises & Mobile Store Khambra, Punjab",31.2751906,75.5566806,Cell phone store,4.3,247,"Khambra, Punjab",098030 91999,
"ORGANIC MATTERS Jalandhar, Punjab",31.3067071,75.5854597,Organic shop,4.5,10,"Jalandhar, Punjab",0181 502 1649,
"Retro Cafe Jalandhar, Punjab",31.3033599,75.5827721,Cake shop,4.3,100,"Jalandhar, Punjab",096463 69209,Dine-in
"S. Mohan Singh Kartar Singh Jalandhar, Punjab",31.3284192,75.5594007,Indian grocery store,4.1,10,"Jalandhar, Punjab",098142 76884,
"FUN BAZAAR Ludhiana, Punjab",30.8596844,75.8474646,Clothing store,,,"Ludhiana, Punjab",,
"(GUESS) OG THE LUXURY MBO Jalandhar, Punjab",31.3059862,75.5792674,Store,4.2,5,"Jalandhar, Punjab",099711 66363,
"Muncheez The Food Place Phagwara, Punjab",31.216412,75.7719566,Fast Food,4.2,1700,"Phagwara, Punjab",079018 00011,Dine-in
"Sardari Lal Furnishers Kartarpur, Punjab",31.4230126,75.5110453,Furniture Manufacturer,5,16,"Kartarpur, Punjab",085912 45677,
"The Heaven Cafe - Best cafe and bakery in jalandhar Jalandhar, Punjab",31.2979688,75.5808029,Cafe,4.6,201,"Jalandhar, Punjab",094647 77771,Dine-in
"J.K.Petha Corner And Snacks Jalandhar, Punjab",31.3352929,75.5744331,Sweet shop,4.4,10,"Jalandhar, Punjab",098152 44645,
"AJ BAKER'S Goraya, Punjab",31.1227838,75.7764117,Bakery and Cake Shop,4.2,251,"Goraya, Punjab",094647 13307,In-store pick-up
"Caldo's Cafe & Lounge Jalandhar, Punjab",31.311998,75.580502,Pizza,4.3,819,"Jalandhar, Punjab",,Dine-in
"Bata Jagraon, Punjab",30.8085696,75.4763348,Clothing store,3,1,"Jagraon, Punjab",,
"Famous Fashion Jalandhar, Punjab",31.3275796,75.5517158,Clothing store,,,"Jalandhar, Punjab",098144 48016,
"The Best Brand Jalandhar, Punjab",31.3396757,75.6545082,Clothing store,5,4,"Jalandhar, Punjab",,
Jai Ganesh fashion house(Nony Da Show Room) Maur,30.0596323,75.231633,Shopping mall,4.8,5,Maur,098151 30338,
"Famous Fashion Jalandhar, Punjab",31.3275796,75.5517158,Clothing store,,,"Jalandhar, Punjab",098144 48016,
Jai Ganesh fashion house(Nony Da Show Room) Maur,30.0596323,75.231633,Shopping mall,4.8,5,Maur,098151 30338,
"Chachu Readymade Ludhiana, Punjab",30.9179837,75.8504018,Clothing store,5,1,"Ludhiana, Punjab",0161 273 2190,
"Famous Allu Sharla Jalandhar, Punjab",31.3487711,75.5754015,Store,,,"Jalandhar, Punjab",,
"Marria Sweet Shop Kala Sanghian, Punjab",31.2616145,75.4443679,Caterer,4.7,6,"Kala Sanghian, Punjab",089682 28935,
"Madan Brothers PROP. Kanshi Ram Madan Gopal Ludhiana, Punjab",30.9174047,75.8560313,Women's clothing store,,,"Ludhiana, Punjab",0161 272 8925,
"Famous fish corner Phagwara, Phagwara Sharki, Punjab",31.2264334,75.7945851,Chicken & Mutton Shop,,,"Phagwara, Phagwara Sharki, Punjab",,
"Rue 18 Ludhiana, Punjab",30.8956849,75.8293703,Coffee shop,4.5,192,"Ludhiana, Punjab",099413 91313,
"Nagendar Garments Ludhiana, Punjab",30.92121,75.85604,Clothing store,,,"Ludhiana, Punjab",0161 319 2041,
"Famous Refrigeration Engineer Jalandhar, Punjab",31.330471,75.58197,Refrigerator store,,,"Jalandhar, Punjab",098143 59744,
"CHINA BAZAR KAVARATTI Kavaratti, Lakshadweep",10.5621539,72.6349421,Supermarket,4.2,145,"Kavaratti, Lakshadweep",04896 263 115,
"Thavakkal V5CW+7RV, Hospital road",24.8707375,67.1970469,Clothing store,4.7,27,"V5CW+7RV, Hospital road",04894 242 729,"In-store shopping,"
"PPK STORE Kavaratti, Lakshadweep",10.5681505,72.6416311,Supermarket,3.9,28,"Kavaratti, Lakshadweep",,"In-store shopping,Delivery"
"PM store MPV6+2M7, Chetlat",11.6925375,72.7116719,Grocery store,4.4,13,"MPV6+2M7, Chetlat",,
"Ammathi Scuba Dive Resorts - Agatti Lakshadweep Agatti, Lakshadweep",10.8424172,72.1859148,Dive shop,4.9,111,"Agatti, Lakshadweep",094473 04775,"In-store shopping,Delivery"
"Laksha'Dives Scuba Dive Center Agatti, Lakshadweep",10.8331635,72.181152,Dive shop,5,109,"Agatti, Lakshadweep",094972 15069,
Lakshdweep Diving Academy HJFQ+35W,9.5727375,72.6379531,Dive shop,4.5,41,HJFQ+35W,04896 262 105,"Delivery,"
Lagoon Beach V6H2+7QV,29.8782375,-81.7980781,Tourist attraction,4.6,212,V6H2+7QV,,
"Madappaly stores 6QVJ+GV5, College Road",34.2437625,-78.2177656,Shopping mall,,,"6QVJ+GV5, College Road",,
"Dimapur Hongkong Market Dimapur, Nagaland",25.9082688,93.7275962,Clothing store,3.8,770,"Dimapur, Nagaland",0370 229 0252,
"Sparkle shop Dimapur, Nagaland",25.908885,93.72299,Shopping mall,3.7,1700,"Dimapur, Nagaland",,"On-site services,"
"Nagaland Souvenirs Dimapur, Nagaland",25.9061515,93.7369765,Souvenir store,4.9,14,"Dimapur, Nagaland",,
"Nagaland Fashion store Dimapur, Nagaland",25.9082396,93.7273019,Clothing store,4.9,13,"Dimapur, Nagaland",080069 15622,"In-store shopping,"
"Westside - Midland, Dimapur Dimapur, Nagaland",25.9072436,93.7203295,Clothing store,4.1,789,"Dimapur, Nagaland",070850 86060,"Delivery,"
"Pantaloons (Peseyie Complex, Dimapur) Dimapur, Nagaland",25.9133436,93.7167231,Clothing store,3.8,417,"Dimapur, Nagaland",084148 68469,"In-store shopping,Delivery"
"Vishal Mega Mart Dimapur, Nagaland",25.91226,93.7207184,Clothing store,3.7,3400,"Dimapur, Nagaland",099540 80011,"In-store shopping,Delivery"
"Vishal Mega Mart Kohima, Nagaland",25.6891911,94.0985202,Clothing store,3.7,2100,"Kohima, Nagaland",072178 88185,"In-store shopping,Delivery"
"Chishi Dimapur, Nagaland",25.909683,93.7209123,Shopping mall,3.6,275,"Dimapur, Nagaland",098641 81310,"In-store shopping,"
"Tibetan Market Kohima, Nagaland",25.6687631,94.105519,Shopping mall,3.5,90,"Kohima, Nagaland",,
"Max Dimapur, Nagaland",25.9076859,93.7196616,Shopping mall,4.3,91,"Dimapur, Nagaland",087875 68112,"On-site services,"
"A.c Complex,hongkong Market Dimapur, Nagaland",25.9084487,93.7275665,Market,3.7,1700,"Dimapur, Nagaland",060093 54412,"On-site services,"
"Vishal Mega Mart Chumkedima, Nagaland",25.82991,93.77774,Clothing store,4,72,"Chumkedima, Nagaland",099548 72619,"In-store shopping,Delivery"
"Popular Bakery Dimapur, Nagaland",25.9058062,93.7485218,Bakery and Cake Shop,3.8,108,"Dimapur, Nagaland",098563 72663,"Delivery,"
"Jasokie Market Dimapur, Nagaland",25.9071264,93.7240713,Market,3.4,155,"Dimapur, Nagaland",,
"Made in Nagaland, Kohima Kohima, Nagaland",25.7058627,94.1071701,Exhibition and trade centre,4.4,112,"Kohima, Nagaland",,"On-site services,"
"Plaza Bakery Dimapur, Nagaland",25.908709,93.7215033,Bakery and Cake Shop,3.9,233,"Dimapur, Nagaland",,"Dine-in,Takeaway"
"Indian Terrain - Forest Colony, Dimapur Dimapur, Nagaland",25.9098631,93.7205612,Clothing store,4.5,33,"Dimapur, Nagaland",03826 224 126,"In-store shopping,Delivery"
"Peter England Dimapur, Nagaland",25.54313,93.4317,Men's clothing store,3.6,250,"Dimapur, Nagaland",,"In-store shopping,In-store pick-up"
"Delight Uniform Centre Dimapur, Nagaland",25.9089693,93.7229819,Uniform store,3.8,31,"Dimapur, Nagaland",094028 31717,
"FAMOUS LETTERPRESS Dimapur, Nagaland",25.9016259,93.697461,Print shop,4.4,18,"Dimapur, Nagaland",084160 99340,"Delivery,"
"Allen Solly - Clothing Store, Vinayak Fashions, Dimapur Dimapur, Nagaland",25.9091086,93.7207748,Clothing store,4.1,38,"Dimapur, Nagaland",03862 248 000,"In-store shopping,"
"Apeto Bazaar(monday Bazaar) Dimapur, Nagaland",25.9013886,93.7717371,Market,3.6,388,"Dimapur, Nagaland",,"In-store shopping,"
"Popular Bakery Kohima, Nagaland",25.6599262,94.0989848,Bakery and Cake Shop,3.4,308,"Kohima, Nagaland",,"Takeaway,"
"Shiro Roastery Dimapur, Nagaland",25.9100018,93.7368152,Coffee shop,4.5,168,"Dimapur, Nagaland",,
"New Market padampukhuri Dimapur, Nagaland",25.8629885,93.7536663,Market,3.9,69,"Dimapur, Nagaland",,
"Popular Bakery Kohima, Nagaland",25.6599262,94.0989848,Bakery and Cake Shop,3.6,71,"Kohima, Nagaland",,"Takeaway,"
"FUNKY BUDDHA Dimapur, Nagaland",25.9097189,93.7053644,Restaurant,3.9,1500,"Dimapur, Nagaland",089746 55017,
"FAMOUS MEDICAL Dimapur, Nagaland",25.9090268,93.7243835,Pharmacy,5,5,"Dimapur, Nagaland",070056 21980,
"BOC MARKET Kohima, Nagaland",25.6585838,94.1053019,Market,4.3,33,"Kohima, Nagaland",,
"LIYING Dimapur, Nagaland",25.9068452,93.7026551,Clothing store,4.8,5,"Dimapur, Nagaland",,"In-store shopping,"
"Korean Uncle's Cafe Dimapur, Nagaland",25.8599609,93.7682464,Restaurant,4,496,"Dimapur, Nagaland",096126 36302,"Dine-in,Takeaway"
"CBZZ Complex Dimapur, Nagaland",25.8599609,93.7682464,Shopping mall,4.1,9,"Dimapur, Nagaland",,
"Ser's Bazaar Kohima, Nagaland",25.6680833,94.1049541,Shopping mall,4,2,"Kohima, Nagaland",,
"PopularBakery Dimapur, Nagaland",25.9058062,93.7485218,Fast Food,3.8,321,"Dimapur, Nagaland",,"Drive-through,Delivery"
"Shoppers Point Dimapur, Nagaland",25.9083835,93.7266863,Clothing store,4.6,5,"Dimapur, Nagaland",076429 05325,"In-store shopping,"
"PWD Junction Wokha, Nagaland",26.0918763,94.2581455,Shopping mall,3.4,20,"Wokha, Nagaland",,"In-store shopping,"
"Hussain Cloths Dimapur, Nagaland",25.9083809,93.7280058,Clothing store,,,"Dimapur, Nagaland",087877 29340,
"APO Building Kohima, Nagaland",25.6685195,94.1058163,Shopping mall,3.9,40,"Kohima, Nagaland",096127 90549,
"Dolls Cafe Dimapur, Nagaland",25.9024161,93.7253271,Cafe,3.9,410,"Dimapur, Nagaland",089740 01900,
"SYMPHONY CAFE Kohima, Nagaland",25.6684298,94.1055241,Cafe,3.9,191,"Kohima, Nagaland",Closed,"Dine-in,Takeaway"
"Ozone Cafe Kohima, Nagaland",25.6737385,94.1086197,Cafe,3.8,565,"Kohima, Nagaland",,"Dine-in,Takeaway"
"Ruby Cafe Dimapur, Nagaland",25.8240634,93.7826352,Cafe,4.2,28,"Dimapur, Nagaland",03862 241 489,"Dine-in,Takeaway"
"W For Woman Dimapur, Nagaland",25.9095232,93.7209211,Clothing store,3,4,"Dimapur, Nagaland",097740 62065,"In-store shopping,In-store pick-up"
"Nagaland Science Centre Dimapur, Nagaland",25.9037829,93.7384468,Science museum,3.7,615,"Dimapur, Nagaland",0370 227 0205,
"Nagaland Heritage Village Viswema, Nagaland",25.6164264,94.1144107,Tourist attraction,4.6,18,"Viswema, Nagaland",,
"Dzukou Valley Viswema, Nagaland",25.5505062,94.1192665,Tourist attraction,4.7,702,"Viswema, Nagaland",,
"Triple Falls Seithekema Dimapur, Nagaland",25.8063018,93.816648,Tourist attraction,4,125,"Dimapur, Nagaland",,
"Aiko Greens Dimapur, Nagaland",25.913851,93.7524134,Event venue,4,351,"Dimapur, Nagaland",094360 12339,
"Ntanki National Park Peren, Nagaland",25.5496528,93.5205641,National park,4,180,"Peren, Nagaland",,
"BAMHUM Dimapur, Nagaland",25.8760847,93.7638633,General store,3,1,"Dimapur, Nagaland",084159 54237,
"Nagaland Handloom & Handicrafts Development Corporation Limited Dimapur, Nagaland",25.8998027,93.73271,Government office,4.5,2,"Dimapur, Nagaland",,
"de Oriental Grand Kohima, Nagaland",25.6848139,94.103018,Hotel,4,849,"Kohima, Nagaland",0370 226 0052,
"The Heritage Kohima, Nagaland",25.6638932,94.0995845,Hotel,4.1,939,"Kohima, Nagaland",094360 00044,
"ILI-AH Dimapur, Nagaland",25.914536,93.7528543,Restaurant,4.2,651,"Dimapur, Nagaland",090770 01201,"Dine-in,Takeaway"
"Alder Tours and Travels Kohima, Nagaland",25.6684421,94.1058786,Travel agency,4.8,69,"Kohima, Nagaland",098622 46498,
Cimorb Hotel Nagaland,26.1584354,94.5624426,Hotel,3.7,268,Nagaland,0370 224 2248,
"Kapamodzu Peak Kikruma, Nagaland",25.5322662,94.2983063,Hiking area,4.5,64,"Kikruma, Nagaland",,
"R P PRINTERS Dimapur, Nagaland",25.9072669,93.7247516,Print shop,5,3,"Dimapur, Nagaland",,
"Tribal Inn Dimapur, Nagaland",25.9149129,93.7147079,Hotel,4.1,136,"Dimapur, Nagaland",090778 78369,
"Main Police Point Mokokchung, Nagaland",26.3238753,94.5215231,,4,475,"Mokokchung, Nagaland",Open 24 hours,
"Hotel Vivor Kohima, Nagaland",25.6981003,94.0981964,Hotel,4.1,703,"Kohima, Nagaland",089740 66508,
"Hotel Grand Lotus Dimapur Dimapur, Nagaland",25.9096588,93.7272153,Hotel,4.4,185,"Dimapur, Nagaland",087980 58700,
"Naga Traditional Dimapur, Nagaland",25.9085217,93.7249336,Tailor,,,"Dimapur, Nagaland",081338 64924,
"Whispering Winds Mokokchung, Nagaland",26.3207171,94.5144454,Hotel,4.2,430,"Mokokchung, Nagaland",,
"Pilgrim's Boutique Hotel Dimapur, Nagaland",25.9166734,93.7256498,Hotel,4.6,80,"Dimapur, Nagaland",060094 46040,
Hotel Metsuben Nagaland,26.324787,94.524924,Hotel,3.8,395,Nagaland,0369 222 6373,
"Mao Market Kohima, Nagaland",25.6578762,94.1008776,Farmers' market,3.7,616,"Kohima, Nagaland",,
"N.S.T Bus Station Kohima, Nagaland",25.6716764,94.1073089,Transportation service,3.5,300,"Kohima, Nagaland",,"On-site services,"
Rusoki's Kitchen Nagaland,25.9062997,93.7027899,Restaurant,3.5,94,Nagaland,089745 89400,"Dine-in,Takeaway"
"Hotel Seb Tower Dimapur, Nagaland",25.9099754,93.7464975,Hotel,4,1300,"Dimapur, Nagaland",084139 60659,
"Nagaland Kohima Kohima, Nagaland",25.6890231,94.0984193,Association / Organization,5,2,"Kohima, Nagaland",,
"Unlabelled Society Restaurant Dimapur, Nagaland",25.9125643,93.7037085,Restaurant,3.9,28,"Dimapur, Nagaland",,"Dine-in,Takeaway"
"The East Gate Hotel Kohima, Nagaland",25.6663807,94.1027002,Hotel,4,439,"Kohima, Nagaland",090894 34838,
"Dimapur Dimapur, Nagaland",25.9091406,93.7265605,Train station,4,827,"Dimapur, Nagaland",,
"Hotel Theja Fort Dimapur, Nagaland",25.9097367,93.7298685,Hotel,3.8,624,"Dimapur, Nagaland",03862 224 209,
"Circuit House Mokokchung, Nagaland",26.3210472,94.5141409,Hotel,3.7,175,"Mokokchung, Nagaland",0369 222 6261,
"HOTEL EAST INN DIMAPUR Dimapur, Nagaland",25.9065997,93.7376764,Hotel,3.9,61,"Dimapur, Nagaland",070852 46394,
"Maa Durga Sweets Dimapur, Nagaland",25.9069094,93.7203942,Sweet shop,5,1,"Dimapur, Nagaland",089748 89114,
"Gokul Sweets & Snacks Dimapur, Nagaland",25.9069024,93.7471591,Restaurant,3.7,12,"Dimapur, Nagaland",,
"Shopping Complex Dimapur, Nagaland",25.8813282,93.7637605,Shopping mall,4,2,"Dimapur, Nagaland",,
"Sadguru Textiles deals in undergarments hajipark, Dimapur, Nagaland",25.9073998,93.7263322,Clothing store,4,2,"hajipark, Dimapur, Nagaland",,
"Naga Costume & Craft Dimapur, Nagaland",25.9062972,93.734571,Craft store,,,"Dimapur, Nagaland",081310 64598,
"Dimapur Cosmetic Dimapur, Nagaland",25.9077917,93.7230319,Cosmetics store,,,"Dimapur, Nagaland",076315 67744,
"Puri Hotel Dimapur, Nagaland",25.7946264,93.7317695,Coffee shop,,,"Dimapur, Nagaland",078961 06743,
"Magneto The Mall Labhandih, Chhattisgarh",21.2409292,81.6841555,Shopping mall,4.3,47000,"Labhandih, Chhattisgarh",077122 59301,
"Ambuja City Centre Raipur, Chhattisgarh",21.275629,81.687617,Shopping mall,4.5,21000,"Raipur, Chhattisgarh",077140 40202,
"Shoppers Stop Raipur, Chhattisgarh",21.2329892,81.6582994,Clothing store,4.2,816,"Raipur, Chhattisgarh",077171 33868,"In-store pick-up,Delivery"
"Fashion Factory Raipur, Chhattisgarh",21.2173325,81.6564295,Clothing store,4,2900,"Raipur, Chhattisgarh",1800 891 0001,"Delivery,"
"Raipur City Centre Mall Raipur, Chhattisgarh",21.2548624,81.6462013,Shopping mall,4.1,23000,"Raipur, Chhattisgarh",,
"GHAR SANSAR MAHASALE Raipur, Chhattisgarh",21.2405716,81.6223374,Shopping mall,3.8,295,"Raipur, Chhattisgarh",,"In-store shopping,"
"Pandri Market Raipur, Chhattisgarh",21.2547055,81.6472971,Clothing store,4.1,584,"Raipur, Chhattisgarh",,
"Shree Shivam Attires Private Limited Raipur, Chhattisgarh",21.2513795,81.647808,Clothing store,4,1900,"Raipur, Chhattisgarh",070242 46002,"In-store shopping,In-store pick-up"
"The Palm Mall Korba, Chhattisgarh",22.3545264,82.7056333,Shopping mall,4.2,5300,"Korba, Chhattisgarh",096305 56506,"On-site services,"
"pratap fabrics Raipur, Chhattisgarh",21.257031,81.6474539,Clothing store,4,3300,"Raipur, Chhattisgarh",098278 28888,"In-store shopping,Delivery"
"New Kashish Men's Point & Kashish Dulhe Raja Raipur, Chhattisgarh",21.2360274,81.6224356,Clothing store,3.9,1000,"Raipur, Chhattisgarh",096914 44416,"Delivery,"
"Bastar Art Raipur, Chhattisgarh",21.2386374,81.597103,Handicraft,4.4,32,"Raipur, Chhattisgarh",070006 09845,
"City Mall 36 Bilaspur, Chhattisgarh",22.0938601,82.1254049,Shopping mall,4,12000,"Bilaspur, Chhattisgarh",079872 83821,
"Kishor Shopping Mall Raipur, Chhattisgarh",21.2513844,81.6296413,Grocery store,3.8,452,"Raipur, Chhattisgarh",088210 78000,
"Kasimuddin & Sons Raipur, Chhattisgarh",21.2402735,81.6364136,Book store,4.9,333,"Raipur, Chhattisgarh",098938 94151,"In-store shopping,Kerbside pickup"
"Colors Mall Raipur, Chhattisgarh",21.2170425,81.6563461,Shopping mall,3.8,4900,"Raipur, Chhattisgarh",077140 69999,
"SASHA STORE ( best cloth shop ) Raipur, Chhattisgarh",21.256768,81.6616175,Clothing store,4.1,49,"Raipur, Chhattisgarh",098268 01231,"In-store shopping,In-store pick-up"
"City Mall 36 Raipur, Chhattisgarh",21.2363844,81.6858519,Shopping mall,3.8,4800,"Raipur, Chhattisgarh",077166 32000,"On-site services,"
"Surya Treasure Island Mall, Bhilai Smriti Nagar, Chhattisgarh",21.2187077,81.3226542,Shopping mall,4.1,18000,"Smriti Nagar, Chhattisgarh",088174 95727,
"Pooja Fancy Stores Raipur, Chhattisgarh",21.2395509,81.6344757,Jeweler,4.1,232,"Raipur, Chhattisgarh",098271 62455,"Delivery,"
"Van Heusen - Magneto Mall, Bilaspur Bilaspur, Chhattisgarh",22.0796192,82.1409273,Clothing store,4.9,129,"Bilaspur, Chhattisgarh",077524 17884,"Delivery,"
"Westside - City Mall, Bilaspur, Chhattisgarh Bilaspur, Chhattisgarh",22.0937732,82.1253907,Clothing store,3.9,80,"Bilaspur, Chhattisgarh",077522 71801,
"RASM Raipur, Chhattisgarh",21.2560066,81.6493069,Bridal shop,4.2,40,"Raipur, Chhattisgarh",077142 18800,"In-store shopping,Delivery"
"Goras Bhandar Raipur, Chhattisgarh",21.2420026,81.6323837,Sweet shop,4.4,14,"Raipur, Chhattisgarh",,"In-store shopping,Delivery"
"Naivedya Sweets Raipur, Chhattisgarh",21.2413984,81.6398143,Sweet shop,4.2,2600,"Raipur, Chhattisgarh",077140 31326,
"Style Shop Raipur, Chhattisgarh",21.2390403,81.6376377,Cosmetics store,4.1,1400,"Raipur, Chhattisgarh",077122 34786,"In-store shopping,Kerbside pickup"
"Muklava Designer Store Raipur, Chhattisgarh",21.2570625,81.6472474,Boutique,4.5,224,"Raipur, Chhattisgarh",097131 34800,"In-store shopping,In-store pick-up"
"Gokul Super Bazar Raipur, Chhattisgarh",21.2441227,81.6109796,Grocery store,4.4,527,"Raipur, Chhattisgarh",077140 44884,"In-store shopping,In-store pick-up"
"Red Teddy Exclusive Gifts Showroom Raipur, Chhattisgarh",21.2318153,81.6537827,Gift shop,4.3,172,"Raipur, Chhattisgarh",093010 73700,
"LALGANGA SHOPPING MALL Raipur, Chhattisgarh",21.2449332,81.6393851,Shopping mall,3.9,687,"Raipur, Chhattisgarh",095224 19000,"On-site services,"
"The Famous Bilaspur, Chhattisgarh",22.0899094,82.134047,Men's clothing store,4.5,2,"Bilaspur, Chhattisgarh",098279 59060,"In-store shopping,Delivery"
"Prakash Wholesale Bazaar Raipur, Chhattisgarh",21.2567851,81.6510747,Clothing store,3.6,369,"Raipur, Chhattisgarh",093015 11422,"Delivery,"
"RAVI KAPDA DUKAN(JAISWALCLOTH STORE) Bamhanidih, Chhattisgarh",21.9016561,82.7181515,Shopping mall,4,42,"Bamhanidih, Chhattisgarh",,"In-store shopping,"
"Mumal Fashion Point Raipur, Chhattisgarh",21.2549365,81.6483077,Clothing wholesale market place,4.5,14,"Raipur, Chhattisgarh",093007 81020,
"Blessed Home Raipur, Chhattisgarh",21.2552013,81.6476939,Gift shop,4.1,34,"Raipur, Chhattisgarh",093292 15828,"In-store shopping,In-store pick-up"
"New Delhi Sweets Raipur, Chhattisgarh",21.2535391,81.6650539,Sweet shop,4.2,3300,"Raipur, Chhattisgarh",077140 01020,"In-store pick-up,Delivery"
"Maheshwari collection Abhanpur, Chhattisgarh",21.0558807,81.7476813,Clothing store,3.7,152,"Abhanpur, Chhattisgarh",083491 19999,
"Avanti Vihar Shopping Complex Raipur, Chhattisgarh",21.2425685,81.6690012,Shopping mall,3.9,360,"Raipur, Chhattisgarh",,
"Marks & Spencer Raipur, Chhattisgarh",21.239761,81.6839824,Clothing store,4.2,62,"Raipur, Chhattisgarh",077143 22283,"In-store shopping,Delivery"
"Appu Sweets Raipur, Chhattisgarh",21.244084,81.6110197,Sweet shop,4.4,63,"Raipur, Chhattisgarh",093002 04036,"In-store pick-up,Delivery"
"Chhattisgarh Sale Raipur, Chhattisgarh",21.2598743,81.5697805,Men's clothing store,3.7,3,"Raipur, Chhattisgarh",099268 20617,"In-store shopping,Delivery"
"Premika Pan Bhandar Raipur, Chhattisgarh",21.2386658,81.6761851,Tobacco shop,4.1,27,"Raipur, Chhattisgarh",078983 35050,"Delivery,"
"Amar Sweets Raipur, Chhattisgarh",21.2384129,81.6347,Sweet shop,3.9,254,"Raipur, Chhattisgarh",077125 33496,
"SHUBHAM K MART PVT LTD Raipur, Chhattisgarh",21.2080373,81.6436452,Grocery store,3.9,2000,"Raipur, Chhattisgarh",091091 55681,"In-store shopping,In-store pick-up"
"Shubh Kadam Raipur, Chhattisgarh",21.2328276,81.6510189,Shoe store,3.6,256,"Raipur, Chhattisgarh",092852 88001,"Delivery,"
"Ismail Brothers Raipur, Chhattisgarh",21.2481522,81.6315491,Fireworks store,4.1,545,"Raipur, Chhattisgarh",077122 92422,"In-store shopping,Delivery"
"GT Shopping Plaza Raipur, Chhattisgarh",21.261371,81.6583702,Shopping mall,3.6,91,"Raipur, Chhattisgarh",098009 55612,
"Annapurna clothing store Bhilai, Chhattisgarh",21.194674,81.3616842,Clothing store,4,406,"Bhilai, Chhattisgarh",,
"Vishal Mega Mart Raipur, Chhattisgarh",21.2403774,81.6250728,Clothing store,3.6,5200,"Raipur, Chhattisgarh",072178 88082,"In-store shopping,Delivery"
Sumeet Bazaar Chhattisgarh,21.2786567,81.8661442,Clothing store,3.7,681,Chhattisgarh,092293 93956,"In-store shopping,Delivery"
"Bilasa Handloom Ghadi Chowk, Great Eastern Rd, opposite Lal Ganga Shopping Mall, Chhattisgarh",21.2454617,81.6393594,Clothing store,4.3,34,"Ghadi Chowk, Great Eastern Rd, opposite Lal Ganga Shopping Mall, Chhattisgarh",077142 18113,"Delivery,"
"Madhu Sweets Raipur, Chhattisgarh",21.2441933,81.6364311,Sweet shop,4.1,353,"Raipur, Chhattisgarh",,"Delivery,"
"Rohit's Sweets Sankara, Chhattisgarh",21.3511009,81.658287,Sweet shop,3.8,296,"Sankara, Chhattisgarh",096696 85000,"In-store shopping,Delivery"
"Louis Philippe Exclusive Store Link Rd, opp. satyam talkies, below maosaji cafeteria Chhattisgarh",22.0792653,82.1502136,Men's clothing store,4.6,58,"Link Rd, opp. satyam talkies, below maosaji cafeteria Chhattisgarh",096919 88833,"In-store shopping,In-store pick-up"
"D Mart Raipur, Chhattisgarh",21.236719,81.6856072,Supermarket,4.3,8100,"Raipur, Chhattisgarh",022 3340 0500,"In-store pick-up,Delivery"
"Shree Ram New Cloth Market Telipara, Chhattisgarh",22.0770949,82.1529347,Clothing store,3.9,327,"Telipara, Chhattisgarh",,
"Bunkar Craft Raipur, Chhattisgarh",21.2551952,81.6508694,Clothing store,4,113,"Raipur, Chhattisgarh",,"In-store pick-up,Delivery"
